N,P,K,temperature,humidity,ph,rainfall,indice
5.998753667058861,23.50994117924788,60.78416008240514,132.85421478928467,102.46463410320752,28.475186159611606,36.40180423364629,0.88
6.109293526060242,23.98606883036539,59.7048978814869,158.29275079040252,113.61586874881066,26.142478431218205,39.94079292591083,0.88
6.114057426684803,24.255841141526954,67.4802283592114,156.10391451621717,94.35951276714192,29.815982525787835,42.931454973236036,0.88
6.116760574500285,24.696944364282484,59.58459560596819,132.17353008573272,105.84701411299584,20.974093117014743,37.040915948425635,0.88
6.343026339396825,22.663165965977605,57.52176121430136,137.61561305806106,104.62008084173424,26.537132857415163,43.59654552678435,0.88
6.293152249363755,24.34669106224802,62.509706100203594,154.71875732381793,99.82810586811975,31.428841414226447,33.551822982563195,0.88
6.132996900324029,23.964560320860105,64.4728637951424,149.10277294122326,98.15875886009306,27.43438931669849,38.270221936323296,0.88
6.167240086737152,24.113343557099547,65.63779165721493,136.96758536359022,106.0542027369891,33.159718794472965,31.061554012251218,0.88
6.176947002117008,23.59023504861887,60.70251365434413,139.14230996142695,103.98269570579734,35.36502245770762,32.942278555291146,0.876
5.974558499628176,23.088645800885548,68.04596400319835,144.45192353374455,104.84616563791396,26.388868235575043,34.22230848638763,0.88
6.114727403007835,25.72077052401559,66.8722482234099,139.76474618649274,108.88544461837012,24.673908909334493,30.894529444615117,0.88
6.302926637649695,24.812064992650484,65.66118287866765,144.36161700936512,103.99934559598809,30.99906221463249,39.56598414939243,0.88
6.090954379305444,22.866649725917284,62.398563179497046,162.94811567083337,97.81447026579505,30.55503752670391,39.32616678053477,0.88
6.26252223948485,24.610382849803305,59.569371653261264,130.59648719802064,101.79888284590272,31.55650927010803,35.831984385896114,0.88
6.045893501421354,22.725054760652753,68.13426644092829,159.90856369710372,109.61937588764859,31.870901547117896,40.306833446173606,0.88
6.113350671723071,23.885365127114458,60.50352472392756,181.61688905298,108.33547218779665,26.144798234594262,39.86198709666512,0.874
5.9983696623215526,25.05315470301246,59.68625816467501,156.01302519146958,111.39586577845881,29.53907417681997,38.37787996727855,0.88
6.151620312728403,23.960491232179024,59.98155528875374,144.60619884276355,113.87754224190562,27.565853469259373,34.85681492246891,0.88
6.0725553604707745,24.770259476488057,64.36462321607567,156.72395013878707,103.45487280654125,30.29344988069178,35.42575550019741,0.88
6.111057895298134,24.678863141174222,65.05997187621672,138.21708184859037,99.86684128254855,28.43480861125364,44.90452949867804,0.88
5.862665225329652,24.194833057699352,57.183848339493984,142.38802807769346,102.81342949161456,26.317966626252435,35.864816241363165,0.88
6.151081059056456,23.625321103358594,56.88139915301046,159.3584353502733,109.51723300289328,31.372697240090677,31.837062014943672,0.88
6.194837722887623,24.473185199064847,58.39079276046145,150.11007897818556,104.3024001281378,35.36860263427305,45.697984148050296,0.872
5.90034654100047,25.74574890400959,58.79670997596337,161.76807953192912,110.82298788518239,24.017239092632774,39.973071175356395,0.88
6.133869938360091,24.388031003242673,62.80735305833219,164.35607382444297,105.45239725887637,27.328503722294755,42.38425693222872,0.88
6.2370593947287905,24.512269376024623,59.67394664709491,137.45684662321833,101.59366714048379,25.516714457277644,41.14479707461166,0.88
6.296397607544108,23.89140879732732,67.00821656588523,166.42163272518155,106.46039349840323,24.71243291382784,44.30150659774216,0.88
6.140847397345739,24.088315637501683,60.81138241037701,139.32251608443363,96.18816341810825,30.53147329422915,34.86639578441352,0.88
6.6089296843495235,23.239748492171266,57.59916133756521,156.1216645873613,114.17588087380378,28.258358627772886,40.2889696807491,0.854
5.873467887381194,23.525741918015765,58.24234494801851,127.25944980062542,105.70188140414332,19.028689513558266,32.711216135650204,0.861
6.069420930897988,23.418099914834247,63.38742975772474,153.66696230282977,110.36279247561274,31.009534930850712,42.56325115744552,0.88
6.149712239998642,24.21242683057167,63.79029795671717,151.6998803686923,102.61683414049756,26.67022986264092,34.72976640668014,0.88
6.213242524486475,23.934189378140392,59.678891872771324,142.0530621681049,97.73760763330327,31.915365364948798,38.31447067812715,0.88
6.02057999706401,24.565983424721413,60.03842916571969,133.1219924758532,111.12733373531479,25.85161204173555,36.36440363916484,0.88
6.156177003052377,24.79981245595308,62.070130518032094,135.61059448625724,108.26326202467308,26.060041102953104,45.55169588611786,0.876
6.149832041700317,22.435475151470932,63.250777402544855,173.33517350712273,114.45552173127234,35.32381715502626,33.92095925847415,0.877
6.286822859396517,23.494603822184303,62.785012897959234,134.7245708551232,101.1332654107037,25.295013210545537,41.59422112057047,0.88
101.003,32.988,35.053,24.794,65.757,6.188,131.26,1.0
100.569,28.039,39.451,24.594,62.679,6.246,135.152,1.0
107.444,33.912,37.153,24.107,67.955,6.151,159.633,1.0
105.298,29.73,44.172,24.225,58.439,6.048,121.784,1.0
95.236,27.539,41.92,24.028,62.969,6.189,132.376,1.0
98.089,28.141,43.803,23.739,58.037,6.06,161.502,1.0
96.83,30.329,40.078,24.694,64.397,6.153,157.089,1.0
102.753,28.584,36.502,23.723,63.982,6.261,122.963,1.0
107.101,31.104,41.765,23.759,67.787,6.245,149.5,1.0
96.934,33.743,37.15,23.881,60.396,6.045,140.125,1.0
97.632,32.761,44.449,23.601,66.741,6.202,153.111,1.0
113.558,30.419,36.806,24.139,59.455,6.271,129.623,1.0
103.219,27.916,35.381,24.283,63.697,6.265,138.814,1.0
110.026,26.202,38.722,23.935,63.476,6.263,136.108,1.0
103.564,30.19,43.728,23.246,67.671,6.009,152.888,1.0
105.382,32.122,44.092,24.181,64.837,6.103,137.771,1.0
111.211,27.094,39.189,24.867,58.052,6.045,157.649,1.0
105.26,31.807,37.264,23.029,64.285,6.245,159.651,1.0
113.962,30.587,38.401,23.726,59.794,6.06,137.303,1.0
105.31,30.169,43.965,24.904,62.445,6.081,169.02,1.0
103.233,33.382,35.687,24.161,62.266,6.223,163.909,1.0
111.121,31.412,42.171,24.039,67.509,6.129,132.55,1.0
99.058,26.406,37.129,24.943,61.327,6.189,139.914,1.0
104.584,30.757,41.593,24.68,59.124,6.275,150.189,1.0
107.705,27.471,35.619,24.923,62.658,6.092,151.405,1.0
97.264,33.307,43.02,24.528,66.152,6.123,156.499,1.0
95.606,26.162,37.528,24.047,67.156,6.263,122.333,1.0
106.808,27.328,41.779,23.375,63.671,6.075,121.949,1.0
111.232,31.264,41.108,23.621,67.383,6.006,146.92,1.0
114.201,32.832,35.507,24.149,58.397,6.057,160.083,1.0
110.949,28.51,43.628,23.636,59.127,6.102,151.331,1.0
98.946,30.589,41.387,23.258,65.669,6.239,164.131,1.0
111.478,32.428,38.272,23.192,64.612,6.183,151.598,1.0
95.534,31.206,37.147,24.735,66.929,6.217,128.076,1.0
104.13,31.258,36.011,24.89,61.793,6.169,132.639,1.0
102.537,28.974,40.395,23.267,64.624,6.114,161.528,1.0
96.631,32.022,40.791,23.495,61.299,6.065,142.871,1.0
97.664,27.045,35.813,23.155,65.632,6.09,126.554,1.0
107.398,27.497,39.348,23.538,61.064,6.272,161.64,1.0
109.546,32.212,43.258,23.751,65.109,6.265,124.84,1.0
110.149,27.527,37.662,23.741,58.642,6.202,145.939,1.0
98.685,32.396,41.445,24.497,66.966,6.161,126.287,1.0
110.542,29.16,41.412,24.994,67.392,6.216,162.151,1.0
103.896,29.025,39.198,24.519,65.577,6.055,156.065,1.0
105.961,31.773,38.815,24.689,63.424,6.01,139.376,1.0
110.207,33.944,36.48,24.839,61.874,6.249,126.891,1.0
96.836,33.903,36.168,24.651,67.206,6.214,126.169,1.0
98.811,33.315,37.172,24.15,62.463,6.053,157.52,1.0
101.276,28.498,42.197,23.135,62.734,6.231,121.628,1.0
113.326,27.973,38.941,23.114,67.954,6.137,164.435,1.0
97.463,27.41,43.605,23.25,58.33,6.068,145.167,1.0
105.539,28.264,40.162,23.367,64.699,6.145,133.293,1.0
112.469,27.435,36.363,24.072,61.956,6.189,159.541,1.0
114.398,27.663,40.065,24.959,67.416,6.034,131.533,1.0
106.999,26.531,37.366,24.83,58.405,6.149,135.768,1.0
110.221,31.662,43.497,24.762,65.61,6.14,161.449,1.0
110.13,27.327,44.195,24.471,61.016,6.204,128.382,1.0
105.289,26.732,44.654,23.659,67.366,6.179,127.757,1.0
109.057,31.149,44.506,24.607,60.819,6.173,160.09,1.0
101.702,31.357,37.09,23.83,64.921,6.13,161.753,1.0
95.309,33.667,39.687,24.538,58.653,6.166,156.392,1.0
96.695,30.502,40.581,24.441,63.233,6.123,156.542,1.0
106.015,26.593,40.932,23.079,62.528,6.28,151.554,1.0
104.086,32.002,42.073,23.391,66.787,6.067,129.892,1.0
111.378,31.425,41.418,24.614,62.658,6.166,151.019,1.0
102.609,29.733,42.555,24.117,61.961,6.122,157.215,1.0
111.895,32.282,39.473,23.676,66.268,6.151,139.048,1.0
106.591,30.463,41.647,23.069,61.898,6.214,163.017,1.0
100.853,28.343,39.307,24.167,62.206,6.203,129.174,1.0
106.629,33.583,43.891,23.705,62.474,6.3,138.581,1.0
108.711,26.586,43.666,23.534,66.844,6.113,144.692,1.0
111.561,32.621,39.737,23.989,59.98,6.094,141.012,1.0
99.027,28.532,42.065,23.916,61.734,6.23,147.294,1.0
103.904,26.5,41.829,23.113,65.328,6.231,160.871,1.0
100.163,29.812,40.247,24.287,61.766,6.074,151.858,1.0
101.12,28.05,35.675,23.406,67.621,6.189,134.457,1.0
97.739,28.571,42.683,24.544,65.096,6.127,129.779,1.0
110.354,32.002,38.438,24.846,64.564,6.146,151.045,1.0
103.827,31.119,36.357,23.875,62.892,6.077,127.086,1.0
95.516,27.47,36.65,23.347,60.833,6.041,168.085,1.0
100.393,32.34,36.841,23.03,62.582,6.142,128.146,1.0
98.218,33.39,43.935,23.813,62.176,6.185,160.842,1.0
110.444,27.711,44.534,23.099,64.633,6.2,150.017,1.0
111.619,33.321,44.898,23.229,61.152,6.266,121.622,1.0
114.048,30.863,38.357,24.332,64.784,6.184,148.507,1.0
103.421,32.812,42.555,23.037,65.241,6.154,154.696,1.0
101.078,29.58,44.28,23.155,59.322,6.101,129.214,1.0
103.065,26.026,42.87,24.797,64.805,6.084,162.675,1.0
99.248,28.141,44.392,23.285,65.995,6.074,154.316,1.0
97.352,30.128,35.352,24.405,59.296,6.081,160.752,1.0
110.294,30.865,38.128,24.693,58.844,6.165,133.713,1.0
110.155,31.085,42.404,23.909,66.624,6.189,134.647,1.0
95.529,33.703,42.136,24.45,64.984,6.113,139.374,1.0
112.198,29.585,37.88,24.462,60.787,6.061,143.464,1.0
98.459,26.505,39.658,23.154,60.195,6.092,133.555,1.0
106.445,30.054,35.751,24.478,67.225,6.064,133.649,1.0
96.332,30.759,43.653,24.77,62.742,6.037,160.23,1.0
110.201,26.586,37.649,23.011,63.217,6.26,138.45,1.0
101.398,26.334,38.922,23.939,62.532,6.244,168.428,1.0
106.588,31.177,38.236,23.164,63.679,6.046,167.679,1.0
106.009,27.585,40.827,24.504,63.893,6.171,160.139,1.0
97.702,30.36,42.337,23.332,64.192,6.147,160.848,1.0
108.733,30.473,36.07,23.54,61.723,6.121,147.085,1.0
98.474,32.793,44.103,24.848,59.013,6.245,132.476,1.0
113.432,26.561,36.713,23.665,59.925,6.013,143.477,1.0
97.823,28.829,44.821,24.048,65.455,6.146,141.884,1.0
110.628,26.102,43.713,23.233,66.082,6.225,135.546,1.0
98.308,27.113,37.845,23.912,64.618,6.049,145.393,1.0
102.13,30.695,37.809,23.433,59.301,6.016,143.24,1.0
103.091,32.04,39.067,23.662,65.552,6.01,132.792,1.0
100.062,27.116,39.379,24.836,61.105,6.266,156.798,1.0
104.509,27.054,44.727,24.871,59.459,6.181,155.618,1.0
96.853,28.652,44.38,23.258,67.058,6.209,125.155,1.0
106.372,29.67,40.64,24.836,64.116,6.01,123.353,1.0
111.257,29.289,42.833,24.357,67.972,6.221,127.833,1.0
113.856,33.566,38.729,24.984,60.66,6.268,142.647,1.0
104.424,29.586,38.861,23.812,61.748,6.282,157.831,1.0
106.29,31.375,43.023,23.28,58.61,6.13,157.7,1.0
110.214,28.993,38.232,23.468,60.779,6.069,135.196,1.0
110.129,28.371,41.36,23.373,59.064,6.191,154.857,1.0
101.964,30.876,40.899,23.809,63.78,6.01,132.671,1.0
99.047,28.028,37.003,24.413,58.8,6.046,168.486,1.0
114.001,26.339,40.212,23.573,64.053,6.297,169.532,1.0
95.086,26.282,40.501,24.405,61.359,6.18,136.395,1.0
95.617,33.415,39.352,23.405,61.333,6.023,123.524,1.0
114.215,33.182,41.359,24.417,58.094,6.061,132.251,1.0
95.509,27.009,41.332,23.636,58.279,6.028,130.96,1.0
101.66,26.692,42.959,23.312,67.028,6.03,136.773,1.0
100.206,30.669,44.522,24.094,64.179,6.203,125.019,1.0
112.814,26.535,36.291,24.281,63.188,6.245,120.757,1.0
98.541,26.282,43.514,24.624,65.866,6.208,142.62,1.0
101.227,30.041,35.082,23.488,66.661,6.293,140.127,1.0
112.377,33.173,38.168,23.399,65.125,6.133,145.129,1.0
95.918,33.923,40.792,24.878,63.04,6.084,124.826,1.0
114.026,33.59,36.25,24.023,63.041,6.016,141.769,1.0
109.597,30.608,37.101,23.815,66.34,6.046,151.188,1.0
104.422,33.801,40.39,23.028,64.985,6.245,129.717,1.0
100.053,26.147,40.401,23.858,64.603,6.017,122.835,1.0
98.462,33.253,44.601,24.007,60.958,6.114,152.84,1.0
111.062,28.298,42.2,23.931,66.596,6.148,134.492,1.0
111.145,30.335,38.791,24.205,67.259,6.1,122.716,1.0
96.952,31.355,44.623,23.139,60.584,6.105,151.157,1.0
114.403,27.622,43.69,24.778,66.066,6.294,128.898,1.0
105.389,28.325,36.259,24.244,63.213,6.263,130.021,1.0
95.265,28.109,36.344,24.602,67.224,6.038,127.093,1.0
99.112,31.317,37.895,24.167,62.223,6.057,141.461,1.0
109.373,28.475,43.944,23.927,67.044,6.12,132.318,1.0
96.887,27.095,44.907,24.01,66.772,6.118,153.638,1.0
98.228,27.707,35.864,23.602,67.589,6.009,120.755,1.0
111.219,32.436,40.621,24.185,61.183,6.142,125.432,1.0
112.277,29.12,40.109,24.084,64.295,6.041,141.415,1.0
100.14,33.935,42.199,24.127,65.664,6.034,156.563,1.0
107.793,31.751,40.163,23.83,65.793,6.127,128.784,1.0
113.387,28.53,41.953,23.937,62.649,6.262,134.234,1.0
114.891,30.839,35.739,24.871,67.48,6.123,121.502,1.0
102.359,28.438,41.022,23.099,63.489,6.149,129.273,1.0
95.118,28.977,44.607,24.873,61.289,6.247,148.484,1.0
110.563,28.314,43.948,24.74,64.525,6.036,134.695,1.0
97.949,30.107,37.97,23.238,65.5,6.025,142.459,1.0
106.847,33.869,39.598,24.487,66.568,6.165,122.95,1.0
112.765,32.297,43.692,23.195,66.735,6.231,149.103,1.0
101.496,30.731,41.279,24.431,59.97,6.017,133.291,1.0
111.36,30.399,40.12,23.025,59.934,6.279,138.1,1.0
104.246,33.041,40.981,24.31,60.899,6.228,124.356,1.0
106.743,33.611,38.381,23.88,61.846,6.016,149.121,1.0
104.418,32.517,39.853,24.227,66.864,6.122,155.307,1.0
100.946,32.779,41.094,23.565,59.274,6.289,161.52,1.0
114.303,33.016,38.03,23.174,65.863,6.153,123.296,1.0
104.97,27.975,39.078,24.771,62.799,6.038,126.244,1.0
104.547,29.935,44.895,24.831,66.009,6.192,128.05,1.0
100.234,30.447,38.201,24.022,67.144,6.026,139.942,1.0
109.238,28.345,44.002,23.17,60.067,6.278,124.194,1.0
102.752,33.701,42.637,24.873,60.561,6.268,120.033,1.0
109.32,32.904,43.417,24.405,67.171,6.018,168.386,1.0
102.684,33.966,40.598,23.198,65.275,6.108,126.846,1.0
113.24,28.911,38.272,24.896,60.84,6.157,169.972,1.0
112.802,30.785,41.718,24.831,59.858,6.038,120.449,1.0
96.005,30.035,42.363,23.085,58.919,6.22,144.992,1.0
112.95,26.986,40.332,24.233,58.464,6.197,131.833,1.0
105.936,31.749,44.375,24.878,59.716,6.015,140.501,1.0
114.45,26.136,42.747,23.695,58.753,6.221,155.37,1.0
114.791,31.499,38.924,23.92,63.226,6.053,150.721,1.0
104.868,28.249,37.421,23.933,62.131,6.215,138.283,1.0
111.958,28.751,41.191,23.88,60.933,6.045,161.847,1.0
108.005,33.678,36.386,23.718,63.547,6.271,142.178,1.0
112.406,28.61,42.08,24.331,65.959,6.29,151.756,1.0
96.223,32.328,43.089,24.017,64.815,6.079,130.056,1.0
108.25,30.61,41.172,23.643,64.582,6.2,124.194,1.0
109.908,28.913,35.878,23.45,65.259,6.134,143.207,1.0
96.143,32.175,37.614,24.246,67.218,6.163,164.388,1.0
105.611,31.556,41.379,23.759,61.221,6.209,144.414,1.0
107.151,29.676,40.628,23.768,64.773,6.203,137.269,1.0
96.475,31.255,43.935,23.998,60.2,6.005,139.291,1.0
112.832,26.98,38.619,23.21,64.203,6.106,126.352,1.0
109.266,33.89,38.628,23.236,61.187,6.148,133.764,1.0
100.764,32.574,42.464,23.281,63.799,6.237,141.636,1.0
107.231,32.974,44.842,23.585,66.195,6.04,169.622,1.0
107.471,33.411,38.018,24.289,60.212,6.222,138.521,1.0
110.955,27.869,41.596,23.044,64.967,6.119,142.179,1.0
109.901,27.513,35.9,23.929,59.886,6.202,140.145,1.0
114.516,26.618,38.175,21.986,66.271,6.115,161.863,0.998
99.604,27.336,36.534,21.921,60.858,6.203,139.477,0.991
100.767,27.693,37.074,21.969,58.631,6.127,144.579,0.996
104.926,28.321,39.859,21.624,66.881,6.177,125.492,0.957
100.558,30.141,43.046,21.946,65.601,6.278,159.101,0.994
102.422,29.657,38.012,21.787,66.514,6.172,162.601,0.976
100.076,33.868,40.508,21.826,63.63,6.148,144.091,0.98
101.591,31.705,42.534,21.965,67.002,6.068,136.14,0.996
103.0,27.122,38.868,21.964,67.311,6.287,151.871,0.996
104.605,32.704,41.578,21.395,63.579,6.183,125.487,0.931
114.78,29.293,44.889,21.173,59.674,6.025,161.26,0.906
106.064,31.289,44.815,21.865,65.467,6.047,150.22,0.985
100.595,27.979,35.62,21.286,61.399,6.283,158.699,0.919
101.306,32.59,40.526,21.71,62.296,6.11,169.509,0.967
112.504,32.472,40.766,21.229,59.036,6.074,131.99,0.912
95.179,28.37,39.502,21.353,64.465,6.196,150.126,0.927
104.206,30.123,41.714,21.757,61.581,6.169,160.357,0.972
108.483,33.711,38.69,21.346,58.647,6.167,132.189,0.926
106.776,27.533,35.994,21.598,61.548,6.158,150.743,0.954
114.941,28.617,41.183,21.462,63.064,6.096,130.753,0.939
102.032,26.177,40.559,21.475,66.615,6.02,139.398,0.94
111.193,30.298,41.857,21.955,60.006,6.283,153.706,0.995
109.131,29.575,38.143,21.207,64.919,6.091,143.676,0.91
114.35,30.513,44.323,21.691,58.577,6.056,136.505,0.965
100.498,26.264,42.007,21.359,60.193,6.136,158.342,0.927
98.666,32.317,40.833,21.453,62.122,6.064,142.493,0.938
108.832,33.969,41.185,21.586,65.594,6.162,126.504,0.953
107.145,28.678,37.636,21.953,59.152,6.081,124.468,0.995
103.495,28.554,41.998,21.855,59.348,6.033,120.796,0.984
106.433,33.223,35.682,21.148,67.967,6.247,150.203,0.903
101.992,27.32,35.678,21.741,59.257,6.276,159.134,0.971
100.668,29.753,36.436,21.972,65.416,6.249,150.162,0.997
98.791,30.189,41.763,21.159,62.755,6.218,165.853,0.904
100.323,31.166,42.506,21.44,67.977,6.123,128.943,0.936
96.096,33.665,35.424,21.697,59.362,6.142,120.384,0.966
112.776,29.917,44.376,21.31,60.967,6.109,123.257,0.922
108.901,29.465,37.178,21.523,65.766,6.142,125.183,0.946
108.037,30.1,44.532,21.659,61.509,6.145,165.015,0.961
107.728,30.387,39.823,21.701,66.033,6.004,157.11,0.966
95.82,30.468,36.403,21.565,61.086,6.279,148.925,0.951
96.578,26.342,35.067,21.221,62.547,6.062,161.594,0.911
106.429,31.518,37.67,21.249,66.007,6.144,169.607,0.915
97.301,30.3,36.88,21.469,63.513,6.078,157.318,0.94
103.374,29.209,43.248,21.741,61.623,6.117,142.586,0.971
111.309,26.705,44.163,21.494,59.767,6.205,162.996,0.942
109.395,32.428,41.603,21.363,60.474,6.046,161.661,0.928
113.85,27.484,43.85,21.68,65.522,6.208,120.26,0.964
114.823,27.593,36.765,21.371,60.863,6.151,125.363,0.928
103.684,27.11,38.7,21.634,60.653,6.076,131.78,0.958
114.106,31.664,40.849,21.905,62.758,6.172,140.084,0.989
107.682,32.561,37.457,21.712,65.794,6.25,168.309,0.967
98.075,27.601,35.936,21.462,60.365,6.253,139.025,0.939
105.638,32.506,37.289,21.987,67.8,6.2,134.891,0.999
103.242,32.222,44.18,21.81,62.864,6.189,129.985,0.978
113.026,33.578,37.445,21.259,66.992,6.075,169.313,0.916
111.94,27.632,38.558,21.292,58.839,6.185,120.822,0.92
105.244,27.195,41.875,21.907,65.941,6.257,133.997,0.989
112.982,31.188,41.197,21.666,66.588,6.122,155.599,0.962
97.471,31.163,37.763,21.314,62.13,6.193,123.084,0.922
104.381,31.64,43.661,21.833,60.861,6.079,142.132,0.981
112.601,29.279,35.279,21.819,64.927,6.039,154.217,0.979
104.023,31.917,44.946,21.439,66.827,6.012,160.366,0.936
112.725,28.981,44.705,21.32,61.202,6.261,142.955,0.923
101.907,29.317,38.97,21.663,62.186,6.008,157.643,0.962
102.646,27.997,44.823,21.626,64.381,6.233,161.07,0.957
102.553,26.913,35.64,21.595,65.155,6.285,138.209,0.954
98.728,28.135,44.149,21.793,59.64,6.276,131.571,0.976
108.104,32.17,42.673,21.624,65.029,6.106,133.218,0.957
112.873,32.656,42.11,21.59,59.231,6.186,165.827,0.953
104.208,32.015,44.919,21.976,63.685,6.226,149.046,0.997
113.445,32.322,43.746,21.912,59.864,6.07,162.394,0.99
110.444,33.921,40.876,21.435,60.837,6.224,128.507,0.936
106.542,32.451,36.312,21.82,62.376,6.142,130.807,0.98
105.061,26.491,40.181,21.4,59.441,6.151,148.771,0.932
97.817,29.061,38.686,21.124,64.516,6.144,146.884,0.9
105.376,26.006,36.925,21.22,66.692,6.054,168.889,0.911
113.182,30.921,40.803,21.486,62.359,6.018,120.451,0.942
114.493,28.906,44.052,21.302,59.733,6.177,162.18,0.921
107.791,28.854,42.105,21.894,64.972,6.177,135.182,0.988
97.74,28.436,40.829,21.854,60.775,6.141,159.443,0.983
101.062,29.267,35.812,21.597,58.726,6.114,169.424,0.954
95.293,28.421,35.73,21.778,60.381,6.292,135.198,0.975
96.204,27.951,41.574,21.964,58.161,6.267,145.771,0.996
105.338,26.603,35.128,21.191,60.052,6.055,155.714,0.908
101.924,32.158,37.144,21.722,60.416,6.133,136.376,0.968
105.42,26.629,36.868,21.445,58.698,6.107,143.146,0.937
105.497,31.432,39.995,21.793,65.398,6.227,148.812,0.976
104.564,30.362,41.976,21.215,67.938,6.236,165.926,0.911
106.163,29.501,38.966,21.321,60.31,6.083,129.052,0.923
108.406,31.04,35.634,21.38,58.179,6.009,152.032,0.93
114.417,29.1,43.124,21.403,62.012,6.158,136.928,0.932
102.867,32.466,40.564,21.537,60.239,6.25,122.672,0.947
96.935,32.078,36.726,21.536,62.681,6.277,161.342,0.947
100.181,31.765,40.012,21.445,61.658,6.248,122.336,0.937
110.892,32.348,37.986,21.467,64.606,6.285,135.697,0.939
112.026,30.763,43.654,21.662,63.489,6.249,146.36,0.962
109.927,29.199,40.602,21.821,65.145,6.216,136.413,0.98
108.063,33.262,40.547,21.314,65.407,6.106,159.656,0.922
97.379,31.119,39.615,21.213,61.975,6.285,155.649,0.911
102.047,26.315,41.485,21.185,62.953,6.088,149.081,0.907
102.936,33.427,40.265,21.771,59.643,6.028,145.22,0.974
101.65,28.46,40.226,21.701,58.066,6.069,152.355,0.966
108.995,30.126,38.135,21.57,62.278,6.236,136.982,0.951
106.488,32.516,39.298,21.538,59.225,6.246,121.73,0.948
97.223,26.395,35.084,21.126,58.64,6.169,125.025,0.901
103.686,30.527,36.344,21.736,65.382,6.053,129.864,0.97
98.9,27.8,43.472,21.597,67.674,6.267,166.147,0.954
98.782,30.225,44.196,21.287,66.212,6.192,131.477,0.919
113.418,31.248,36.6,21.94,59.754,6.008,125.161,0.993
95.333,28.654,42.26,21.963,66.356,6.285,160.954,0.996
114.189,33.912,39.646,21.968,64.686,6.191,150.347,0.996
97.521,33.377,44.742,21.466,61.398,6.174,142.162,0.939
102.375,29.482,37.904,21.847,66.31,6.292,144.947,0.983
95.296,32.411,41.452,21.159,64.144,6.109,134.942,0.904
95.313,27.466,43.134,21.28,66.086,6.269,128.237,0.918
100.236,27.02,40.165,21.136,60.012,6.135,124.333,0.902
104.524,30.786,43.52,21.465,62.967,6.065,127.631,0.939
103.936,27.552,42.608,21.201,66.796,6.175,146.844,0.909
114.508,33.514,40.853,21.766,66.34,6.035,145.685,0.973
96.235,32.189,43.539,21.227,65.652,6.284,164.187,0.912
104.276,30.665,36.122,21.697,66.801,6.179,144.515,0.966
108.83,33.692,39.467,21.252,67.232,6.08,129.705,0.915
105.489,26.456,37.053,21.69,62.52,6.099,120.125,0.965
98.913,31.371,39.486,21.296,66.246,6.19,130.638,0.92
103.093,33.014,38.862,21.27,59.555,6.199,134.462,0.917
107.807,26.662,41.88,21.286,62.788,6.138,145.851,0.919
109.346,26.173,37.412,21.618,61.609,6.068,159.445,0.957
111.596,32.868,36.663,21.302,67.952,6.091,138.815,0.921
97.257,26.576,40.213,21.614,64.83,6.024,141.846,0.956
105.063,33.802,42.945,21.937,61.366,6.076,166.002,0.993
113.145,33.059,38.309,21.127,62.27,6.073,156.287,0.901
110.123,26.987,39.198,21.26,66.499,6.25,155.435,0.916
101.755,27.517,37.229,21.717,65.84,6.123,154.481,0.968
104.389,33.765,39.417,21.256,63.823,6.158,141.331,0.915
111.174,27.344,42.678,21.407,64.83,6.04,156.924,0.933
99.424,27.855,39.729,21.535,65.974,6.017,151.96,0.947
103.675,31.997,41.791,21.533,64.476,6.271,159.868,0.947
97.392,30.81,38.744,21.661,67.557,6.022,155.012,0.961
107.538,28.893,38.931,21.69,60.165,6.237,137.357,0.965
108.433,30.467,38.298,21.977,63.629,6.288,169.587,0.997
111.319,33.928,40.146,21.36,61.064,6.188,148.25,0.927
97.157,26.405,35.49,21.147,58.665,6.091,156.629,0.903
95.417,27.342,44.032,21.892,62.39,6.087,140.752,0.988
97.832,26.583,44.493,21.537,61.575,6.29,129.301,0.947
101.512,27.215,41.474,21.375,62.309,6.299,129.393,0.929
110.434,27.652,39.787,21.941,66.337,6.214,142.283,0.993
108.004,32.013,40.498,21.124,65.305,6.059,154.281,0.9
105.434,28.379,43.433,21.14,60.746,6.198,138.908,0.902
102.93,28.562,40.766,21.454,60.814,6.248,143.983,0.938
95.17,28.169,42.378,21.511,65.583,6.142,155.381,0.944
96.619,26.353,35.622,21.732,67.384,6.025,135.558,0.97
112.775,31.161,41.812,21.302,61.578,6.223,121.438,0.921
101.322,33.283,35.242,21.661,61.034,6.09,160.64,0.961
100.929,29.342,37.616,21.45,65.677,6.227,121.103,0.937
96.659,26.703,36.839,21.397,62.403,6.078,150.153,0.931
111.738,26.678,37.29,21.896,61.184,6.037,126.995,0.988
110.403,32.379,39.353,21.746,65.737,6.044,159.541,0.971
95.776,33.231,36.065,21.178,58.223,6.198,166.398,0.907
104.406,28.119,40.989,21.76,61.731,6.253,132.624,0.973
106.661,31.15,38.212,21.988,62.359,6.287,152.858,0.999
103.504,31.675,38.758,21.292,64.963,6.175,161.275,0.92
114.129,31.231,36.889,21.911,64.608,6.263,135.154,0.99
106.344,31.023,43.193,21.391,61.601,6.23,133.93,0.931
105.93,26.261,40.705,21.569,63.457,6.075,134.789,0.951
99.13,28.582,37.675,21.617,58.416,6.149,148.844,0.956
105.23,29.046,40.921,21.164,62.722,6.206,122.925,0.905
113.535,31.277,40.592,21.866,65.88,6.019,164.201,0.985
